District,Price,Land Area,Floor,Bathroom,legal_status,Direction,Furniture,Have Mezzanine,Have Rooftop,Have Basement,Near Market,Near School,Near Hospital,Frontage,Securities Space,Have Car Park,Urgent Sale,Price/m2,Category
13,14.0,4.564348191467836,2.0,1.999800396433088,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1473684210526315,2
10,7.9,4.553876891600541,3.0,4.0,2.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0840425531914893,2
4,3.0,3.58351893845611,2.0,2.429984186181629,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0857142857142857,2
14,17.0,4.127134385045092,2.82,3.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2786885245901639,5
6,4.9,4.454347296253507,1.0,1.5398880734803921,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576470588235294,2
10,33.0,5.342334251964811,3.0,3.197999289355587,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1586538461538461,4
16,14.0,4.174387269895637,3.0,3.197999289355587,2.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,2
11,4.65,3.713572066704308,2.0,3.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11625,2
16,17.0,4.290459441148391,5.0,3.968098977428503,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2361111111111111,2
10,51.95,5.572154032177765,4.0,5.0,2.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1982824427480916,4
19,16.99,4.477336814478207,4.0,7.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195287356321839,2
16,28.0,4.844187086458591,2.0,5.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2222222222222222,2
8,9.1,4.330733340286331,3.0,3.0,2.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1213333333333333,5
16,38.5,5.043425116919247,4.0,3.4970445951980995,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,5
18,81.5,5.093750200806762,5.0,3.968098977428503,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5030864197530864,5
14,37.5,5.402677381872279,6.0,4.29369728800611,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169683257918552,2
4,4.5,3.8501476017100584,3.0,3.0,2.0,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0978260869565217,2
18,5.3,3.5553480614894135,4.0,3.4970445951980995,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1558823529411764,2
10,58.0,5.683579767338681,4.0,4.0,2.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1979522184300341,4
15,24.0,4.844187086458591,4.0,6.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904761904761904,4
8,48.0,6.111467339502679,3.0,7.865850206767775,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1066666666666666,4
14,43.6,4.955827057601261,6.0,4.29369728800611,2.0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3092198581560283,5
14,69.0,5.5254529391317835,6.0,8.0,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.276,5
